,18,36,72,144,288,864,1440,2016,2880
18,38546,39508,27858,19650,13312,6514,4688,3758,3484
36,54242,28620,27224,19288,13138,6412,4702,3750,3442
72,55792,38592,20298,19160,12992,6390,4672,3692,3428
144,56160,39588,27060,14282,12940,6318,4504,3592,3380
288,55596,39512,27584,18750,9646,6204,4430,3544,3370
864,55238,39652,27852,19440,12966,4642,4136,3460,3066
1440,54304,39022,27418,19160,13032,6150,3186,3288,3096
2016,54924,39412,27776,19500,13358,6236,4058,2566,3028
2880,56084,40210,28686,20048,13610,6990,4596,3576,2456
