,18,36,72,144,288,864,1440,2016,2880
18,-234292.5934634516,-313365.9859405039,-208965.06467528827,-157485.8019136479,-216148.5262062489,-140432.2644976494,-189513.83921069093,-201038.49749908852,-185216.79871500004
36,-278061.53294930886,-367435.6296646008,-343663.17839209083,-159239.76271308633,-230967.97228549654,-186353.71821062546,-167850.14896035963,-188239.06394838984,-175660.76906699967
72,-308653.3415404102,-276779.68509217445,-330233.1266754009,-203829.47078117868,-244599.4685196355,-173169.43020995334,-166388.34656307707,-208424.3909323169,-173966.502692
144,-233682.80715633743,-226890.66889972193,-305225.6587332804,-355792.1068350673,-218642.07837888296,-148464.94176223222,-167222.41806635028,-175468.82862414,-185977.99520099955
288,-278978.08447737806,-414495.51639769645,-510589.30298392614,-451355.8917055889,-299552.7438532545,-131594.48090131115,-140721.67115712562,-245478.40287800017,-239347.94441
864,-236366.7008951446,-254985.92926954757,-224312.35511029325,-206077.19420690322,-201389.3354946908,-197922.94369257195,-174942.7699002861,-192434.61184350727,-319277.66286400007
1440,-232845.04854985606,-217946.2664463045,-193865.2123574661,-151023.89764022082,-185808.961223379,-207267.8267474007,-157520.2960023128,-202283.56554391235,-204301.30358303478
2016,-146003.46069470514,-157363.9932351117,-162603.0257454433,-186631.26328141429,-215402.90975780739,-228714.72319257166,-193039.72293915204,-190052.71616599988,-162216.4170989995
2880,-254549.47272133175,-167386.84117070073,-128072.99669686146,-83701.96717507695,-143227.64958140184,-158607.59867135622,-175496.51087799994,-179100.96827600012,-187131.19273200002
