,18,36,72,144,288,864,1440,2016,2880
18,664271278.0885782,563599242.4844198,381684573.20324516,207700309.74374008,117323942.4929752,41393683.48709141,24773727.99594763,16784602.12813265,11211910.821637385
36,545815100.5074807,386570741.38344735,300278005.41377354,186070042.50180846,111633025.54125738,40303237.42767942,23984768.402880266,16462444.568323826,11238600.242168685
72,476453120.0213758,295984095.8944152,200889876.6488139,149819912.78881755,100138517.35984214,39431968.48547758,24798362.17564573,16033147.779232584,10830304.095149716
144,437745315.2543364,258163847.00964496,158512248.26949525,105184269.59058684,78691819.5984488,38316476.02982946,23977410.561866123,16702474.257535104,10446441.29158369
288,415185203.70254445,242956533.27474287,140592070.99403262,78395973.3917174,51593150.69441554,32336412.53574335,20608374.60491575,14680591.330530131,9802489.089380123
864,351088393.58378994,198224627.91119525,116052332.84881975,60712338.13666259,35309453.462213024,20139740.595768064,14559099.437624402,12153118.888474163,9395852.330282796
1440,337171020.4464827,187238131.5261451,102183247.87720102,53476831.734928936,33122870.188352607,15266703.795325117,10560911.536016129,9996325.818624973,7737816.105948113
2016,342851143.52738845,189642994.3032851,102996703.92158234,52265123.85596334,33659332.28547466,13185696.851886068,9471213.103574175,8639870.335994324,7044615.701203287
2880,331060106.85150766,185649638.92060947,97675446.50895384,48079664.88407299,29680061.452524856,12227984.819345217,9012537.367468283,8008243.39769949,5721983.459173973
